"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"71","Greater Shepparton City Council","https://www.pc.gov.au/__data/assets/pdf_file/0005/227633/sub071-basin-plan.pdf","pdf","","",""
"72","Murray Lower Darling Rivers Indigenous Nations (MLDRIN)","https://www.pc.gov.au/__data/assets/pdf_file/0006/227634/sub072-basin-plan.pdf","pdf","","",""
"73","Environment Victoria","https://www.pc.gov.au/__data/assets/pdf_file/0007/227635/sub073-basin-plan.pdf","pdf","","",""
"74","Murray Darling Association Region 6 (MDA-R6)","https://www.pc.gov.au/__data/assets/pdf_file/0008/227636/sub074-basin-plan.pdf","pdf","","",""
"75","Commonwealth Environmental Water Holder (CEWH)","https://www.pc.gov.au/__data/assets/pdf_file/0009/227637/sub075-basin-plan.pdf","pdf","","",""
"76","National Parks Association of NSW","https://www.pc.gov.au/__data/assets/pdf_file/0011/227648/sub076-basin-plan.pdf","pdf","","",""
"77","National Farmers’ Federation (NFF)","https://www.pc.gov.au/__data/assets/pdf_file/0003/227649/sub077-basin-plan.pdf","pdf","","",""
"78","Robert McBride","https://www.pc.gov.au/__data/assets/pdf_file/0004/227650/sub078-basin-plan.pdf","pdf","","",""
"79","River Lakes and Coorong Action Group Inc","https://www.pc.gov.au/__data/assets/pdf_file/0003/227739/sub079-basin-plan.pdf","pdf","","",""
"80","NSW Irrigators’ Council","https://www.pc.gov.au/__data/assets/pdf_file/0004/227740/sub080-basin-plan.pdf","pdf","","",""
"81","Department of Agriculture and Water Resources","https://www.pc.gov.au/__data/assets/pdf_file/0005/227741/sub081-basin-plan.pdf","pdf","","",""
"82","Namoi Water","https://www.pc.gov.au/__data/assets/pdf_file/0011/227792/sub082-basin-plan.pdf","pdf","","",""
"83","Gwydir Valley Irrigators Association (GVIA)","https://www.pc.gov.au/__data/assets/pdf_file/0003/227793/sub083-basin-plan.pdf","pdf","","",""
"84","Brian Mills","https://www.pc.gov.au/__data/assets/pdf_file/0019/228007/sub084-basin-plan.pdf","pdf","","",""
"85","SA Government","https://www.pc.gov.au/__data/assets/pdf_file/0005/228488/sub085-basin-plan.pdf","pdf","","",""
"86","Murray-Darling Basin Authority","https://www.pc.gov.au/__data/assets/pdf_file/0006/228489/sub086-basin-plan.pdf","pdf","","",""
"87","Qld Government","https://www.pc.gov.au/__data/assets/pdf_file/0008/228545/sub087-basin-plan.pdf","pdf","","",""
"88","Australian River Deltas","https://www.pc.gov.au/__data/assets/pdf_file/0018/229014/sub088-basin-plan.pdf","pdf","","",""
"89","Victorian Government","https://www.pc.gov.au/__data/assets/pdf_file/0016/230353/sub089-basin-plan.pdf","pdf","","",""
