"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"55","Murray-Darling Basin Authority","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Murray-Darling%20Basin%20Authority%20-%2029%20October%202020.pdf","pdf","","",""
"56","Murrumbidgee Irrigation Ltd","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Murrumbidgee%20Irrigation%20Ltd%20-%2029%20October%202020.pdf","pdf","","",""
"57","Murrumbidgee Valley Food and Fibre Association","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Murrumbidgee%20Valley%20Food%20and%20Fibre%20Association%20%28MVFFA%29%20-%2030%20October%202020.pdf","pdf","","",""
"58","National Farmers' Federation","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20National%20Farmers%E2%80%99%20Federation%20%20-%2030%20October%202020.pdf","pdf","","",""
"59","National Irrigators' Council","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20National%20Irrigators%20Council%20-%20%28sub%20only%29%208%20October%202020.pdf","pdf","","",""
"60","NSW Farmers Association","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20NSW%20Farmers%20Association%20-%209%20November%202020.pdf","pdf","","",""
"61","NSW Government","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20NSW%20Government%20-%20%28sub%20only%29%20-%2027%20August%202020.pdf","pdf","","",""
"62","NSW Irrigators' Council","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20NSW%20Irrigators%27%20Council%20-%2030%20October%202020.pdf","pdf","","",""
"63","Poppy H'Antoni","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Poppy%20H%27Antoni%20-%2016%20November%202020.pdf","pdf","","",""
"64","Public Interest Advocacy Centre","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Public%20Interest%20Advocacy%20Centre-%20%2029%20October%202020.pdf","pdf","","",""
"65","QLD Department of Natural Resources, Mines and Energy","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20QLD%20Department%20of%20Natural%20Resources%20Mines%20and%20Energy%20-%2023%20September%202020.pdf","pdf","","",""
"66","Queensland Farmers' Federation","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Queensland%20Farmers%27%20Federation-%2030%20October%202020.pdf","pdf","","",""
"67","Ray Anker","https://www.accc.gov.au/system/files/Ray%20Anker.pdf","pdf","","",""
"68","Renmark Irrigation Trust","https://www.accc.gov.au/system/files/RIT%20Submission%20to%20ACCC%20MDB%20water%20market%20inquiry%20-%20Interim%20Report%2029%20Oct%202020.pdf","pdf","","",""
"69","Riverina & Murray Joint Organisation","https://www.accc.gov.au/system/files/RAMJO%20ACCC%20Submission%20-%20October%202020.pdf","pdf","","",""
"70","Riverland Horticulture Futures Group","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Riverland%20Horticulture%20Futures%20Group%20-20%20October%202020_Redacted.pdf","pdf","","",""
"71","Rob Sobey","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20%20Rob%20Sobey%20-%20%28email%20only%29%2018%20September%202020.pdf","pdf","","",""
"72","Robert Caldwell","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-Robert%20Caldwell%20-sub%20only%20-%2027%20August%202020%20.pdf","pdf","","",""
"73","Robert Campbell","https://www.accc.gov.au/system/files/Robert%20Campbell.pdf","pdf","","",""
"74","Robert McGavin","https://www.accc.gov.au/system/files/Robert%20McGavin%20-%20Boundary%20Bend%20Olives.pdf","pdf","","",""
"75","Roger Hall","https://www.accc.gov.au/system/files/Roger%20Hall_Redacted.pdf","pdf","","",""
"76","Sandra Williams","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Sandra%20Williams%20-%2030%20October%202020.pdf","pdf","","",""
"77","Scott Hamilton and Stuart Kells","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Scott%20Hamilton%20%26%20Stuart%20Kells%20%28sub%20only%29%20-%2028%20August%202020.pdf","pdf","","",""
"78","Select Harvests Limited","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Select%20Harvests%20Limited%20%20-%2030%20October%202020.pdf","pdf","","",""
"79","Southern Cross Farms","https://www.accc.gov.au/system/files/Southern%20Cross%20Farms%20_Redacted.pdf","pdf","","",""
"80","Southern Riverina Irrigators","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Southern%20Riverina%20Irrigators%20-%20%28sub%20only%29%2013%20November%202020.pdf","pdf","","",""
"81","Stuart and Katrina Heffer","https://www.accc.gov.au/system/files/Stuart%20and%20Katrina%20Heffer.pdf","pdf","","",""
"82","Submission Provider A","https://www.accc.gov.au/system/files/Submission%20Provider%20A%20%282%29.pdf","pdf","","",""
"83","SunRice Group and the Ricegrowers’ Association of Australia","https://www.accc.gov.au/system/files/SunRice%20Group%20and%20RGA%20-%2030%20October%202020_.pdf","pdf","","",""
"84","Sunwater","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Sunwater-%20%2027%20October%202020.pdf","pdf","","",""
"85","The Goulburn Valley Environment Group Inc","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20The%20Goulburn%20Valley%20Environment%20Group%20Inc%20%28sub%20only%29%20-%2002%20September%202020.pdf","pdf","","",""
"86","The Law Society of NSW","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-The%20Law%20Society%20of%20NSW%20-%2020%20October%202020.pdf","pdf","","",""
"87","Victorian Farmers Federation","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Victorian%20Farmers%20Federation%20-%2030%20October%202020.pdf","pdf","","",""
"88","Victorian Government","https://www.accc.gov.au/system/files/Victorian%20Government_1.pdf","pdf","","",""
"89","Water Partners (Aust) Ltd","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Water%20Partners%20%28Aust%29%20Ltd%20-%2030%20October%202020.pdf","pdf","","",""
"90","Waterexchange","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-Waterexchange%20-%2030%20October%202020.pdf","pdf","","",""
