"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"21","Sydney Coastal Councils Group (SCCG)","https://www.pc.gov.au/__data/assets/pdf_file/0005/255686/sub021-water-reform-2020.pdf","pdf","","",""
"22","Eliza Venville","https://www.pc.gov.au/__data/assets/pdf_file/0007/255688/sub022-water-reform-2020.pdf","pdf","","",""
"23","Murray-Darling Basin Authority (MDBA)","https://www.pc.gov.au/__data/assets/pdf_file/0008/255689/sub023-water-reform-2020.pdf","pdf","","",""
"24","AgForce","https://www.pc.gov.au/__data/assets/pdf_file/0009/255690/sub024-water-reform-2020.pdf","pdf","","",""
"25","Goldenfields Water County Council (GWCC)","https://www.pc.gov.au/__data/assets/pdf_file/0010/255691/sub025-water-reform-2020.pdf","pdf","","",""
"26","BHP","https://www.pc.gov.au/__data/assets/pdf_file/0011/255692/sub026-water-reform-2020.pdf","pdf","","",""
"27","NSW Irrigators’ Council (NSWIC)","https://www.pc.gov.au/__data/assets/pdf_file/0003/255693/sub027-water-reform-2020.pdf","pdf","","",""
"28","Riverina and Murray Joint Organisation (RAMJO) ","https://www.pc.gov.au/__data/assets/pdf_file/0004/255694/sub028-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0005/255695/sub028-water-reform-2020-attachment.pdf","",""
"29","Leeton Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0006/255696/sub029-water-reform-2020.pdf","pdf","","",""
"30","Institute for Water Futures (IWF) – Australian National University","https://www.pc.gov.au/__data/assets/pdf_file/0005/255722/sub030-water-reform-2020.pdf","pdf","","",""
"31","Michael Smit; Adam Jones; Simon Fane; Chris Philpot and Reid Butler","https://www.pc.gov.au/__data/assets/pdf_file/0006/255723/sub031-water-reform-2020.pdf","pdf","","",""
"32","Local Government Association of Queensland (LGAQ)","https://www.pc.gov.au/__data/assets/pdf_file/0008/255725/sub032-water-reform-2020.pdf","pdf","","",""
"33","Sustainable Population Australia (SPA)","https://www.pc.gov.au/__data/assets/pdf_file/0009/255726/sub033-water-reform-2020.pdf","pdf","","",""
"34","Greater Shepparton City Council (GSCC)","https://www.pc.gov.au/__data/assets/pdf_file/0011/255728/sub034-water-reform-2020.pdf","pdf","","",""
"35","Central Land Council (CLC)","https://www.pc.gov.au/__data/assets/pdf_file/0003/255729/sub035-water-reform-2020.pdf","pdf","","",""
"36","Business NSW","https://www.pc.gov.au/__data/assets/pdf_file/0005/255731/sub036-water-reform-2020.pdf","pdf","","",""
"37","NSW Water Directorate","https://www.pc.gov.au/__data/assets/pdf_file/0006/255732/sub037-water-reform-2020.pdf","pdf","","",""
"38","Stormwater Australia","https://www.pc.gov.au/__data/assets/pdf_file/0007/255733/sub038-water-reform-2020.pdf","pdf","","",""
"39","Dr Anne Jensen","https://www.pc.gov.au/__data/assets/pdf_file/0010/255736/sub039-water-reform-2020.pdf","pdf","","",""
"40","Lachlan Valley Water (LVW)","https://www.pc.gov.au/__data/assets/pdf_file/0011/255737/sub040-water-reform-2020.pdf","pdf","","",""
"41","NSW Government","https://www.pc.gov.au/__data/assets/pdf_file/0006/255741/sub041-water-reform-2020.pdf","pdf","","",""
"42","National Farmers' Federation (NFF)","https://www.pc.gov.au/__data/assets/pdf_file/0008/255743/sub042-water-reform-2020.pdf","pdf","","",""
"43","Australian Dairy Farmers (ADF)","https://www.pc.gov.au/__data/assets/pdf_file/0009/255744/sub043-water-reform-2020.pdf","pdf","","",""
"44","Unitywater","https://www.pc.gov.au/__data/assets/pdf_file/0008/256094/sub044-water-reform-2020.pdf","pdf","","",""
"45","Australian Floodplain Association (AFA)","https://www.pc.gov.au/__data/assets/pdf_file/0010/255745/sub045-water-reform-2020.pdf","pdf","","",""
"46","Prof Cameron Holley; Assoc Prof Bryce Kelly; Assoc Prof Martin Andersen; Prof Andy Baker; Dr Hamid Roshan; Assoc Prof John Triantafilis and Georgia Regan","https://www.pc.gov.au/__data/assets/pdf_file/0003/255747/sub046-water-reform-2020.pdf","pdf","","",""
"47","Queensland Water Directorate (qldwater)","https://www.pc.gov.au/__data/assets/pdf_file/0005/255758/sub047-water-reform-2020.pdf","pdf","","",""
"48","Mark Zanker","https://www.pc.gov.au/__data/assets/pdf_file/0007/255760/sub048-water-reform-2020.pdf","pdf","","",""
"49","Dr Richard Koerner ","https://www.pc.gov.au/__data/assets/pdf_file/0008/255761/sub049-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0010/255763/sub049-water-reform-2020-attachmenta.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0011/255764/sub049-water-reform-2020-attachmentb.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0003/255765/sub049-water-reform-2020-attachmentc.pdf","",""
"50","WWF Australia","https://www.pc.gov.au/__data/assets/pdf_file/0004/255766/sub050-water-reform-2020.pdf","pdf","","",""
"51","Far North Queensland Regional Organisation of Councils (FNQROC)","https://www.pc.gov.au/__data/assets/pdf_file/0005/255767/sub051-water-reform-2020.pdf","pdf","","",""
"52","Eleanor Smith","https://www.pc.gov.au/__data/assets/pdf_file/0008/255770/sub052-water-reform-2020.pdf","pdf","","",""
"53","Water Industry Operators Association of Australia (WIOA)","https://www.pc.gov.au/__data/assets/pdf_file/0009/255771/sub053-water-reform-2020.pdf","pdf","","",""
