"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"62","Murray Irrigation Limited and Murray Regional Strategy Group","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Murray%20Irrigation%20Limited%20and%20Murray%20Regional%20Strategy%20Group%20-%2029%20November%202019%20%281%29.pdf","pdf","","",""
"63","Murray Lower Darling Rivers Indigenous Nations","https://www.accc.gov.au/system/files/CombinedPDF_Water%20Inquiry%20-%20Submission%20-%20Murray%20Lower%20Darling%20Rivers%20Indigenous%20Nations%20%28MLDRIN%29%20-%2028%20Nov%2019%20%281%29.pdf","pdf","","",""
"64","Murray River Group of Councils","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Murray%20River%20Group%20of%20Councils%20-%2029%20Nov%2019.pdf","pdf","","",""
"65","Murray Valley Groundwater Irrigators Association Inc.","https://www.accc.gov.au/system/files/CombinedPDF-%20Water%20Inquiry%20-%20Submission%20-%20Stubbs%20Wallace-%2029%20Nov%2019%20%282%29.pdf","pdf","","",""
"66","Murray Valley Winegrowers","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Murray%20Valley%20Winegrowers%20-%206%20December%202019%20%281%29.pdf","pdf","","",""
"67","Murray-Darling Basin Authority","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20MDBA%20-%209%20December%202019.pdf","pdf","","",""
"68","Murrumbidgee Irrigation Ltd","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Murrumbidgee%20Irrigation%20Ltd%20-%206%20December%202019.pdf","pdf","","",""
"69","Murrumbidgee Valley Food and Fibre Association","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Murrumbidgee%20Valley%20Food%20and%20Fibre%20Association.pdf","pdf","","",""
"70","Nathan Lines","https://www.accc.gov.au/system/files/_Redacted_Water%20Inquiry%20-%20Submission%20-%20Nathan%20Lines%20-%2017%20November%202019.pdf","pdf","","",""
"71","National Farmers’ Federation","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20NFF%20-%206%20December%202019.pdf","pdf","","",""
"72","National Irrigators’ Council","https://www.accc.gov.au/system/files/_Redacted_%20Water%20Inquiry%20-%20Submission%20-%20National%20Irrigators%20Council%20-%2029%20Nov%2019_Redacted.pdf","pdf","","",""
"73","National Parks Association of NSW","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20National%20Parks%20Association%20of%20NSW%20-%2028%20Nov%2019%20%281%29.pdf","pdf","","",""
"74","NERA Economic Consulting","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20NERA%20Economic%20Consulting%20-%2029%20Nov%2019.pdf","pdf","","",""
